id;name;from_date;end_date;end_inscription_date;status;create_date;updated_date
1;mobile Fish;2020-02-07;2020-02-07;2020-02-07;IN_PROGRESS;2020-02-07T20:25:59;2020-02-07T21:26:18
2;FTP Savings Account;2020-02-07;2020-02-07;2020-02-07;DONE;2020-02-07T02:51:14;2020-02-07T00:18:26
3;Electronics;2020-02-06;2020-02-07;2020-02-07;IN_PROGRESS;2020-02-07T22:39:46;2020-02-07T12:27:57
4;intangible;2020-02-07;2020-02-07;2020-02-07;DONE;2020-02-07T14:02:23;2020-02-07T17:14:45
5;Licensed Savings Account;2020-02-07;2020-02-07;2020-02-06;DONE;2020-02-07T06:30:18;2020-02-07T18:44:23
6;Small Frozen Sausages Planner;2020-02-07;2020-02-07;2020-02-07;CREATED;2020-02-07T06:24:39;2020-02-07T17:02:52
7;Bahamian Dollar Investment Account;2020-02-07;2020-02-07;2020-02-07;IN_PROGRESS;2020-02-07T12:37:43;2020-02-07T10:21:03
8;Mayotte;2020-02-07;2020-02-07;2020-02-06;DONE;2020-02-07T08:28:58;2020-02-07T05:22:41
9;archive Georgia Aruba;2020-02-06;2020-02-07;2020-02-07;IN_PROGRESS;2020-02-07T08:45:02;2020-02-07T14:16:13
10;mission-critical Faroe Islands Plastic;2020-02-07;2020-02-07;2020-02-07;DONE;2020-02-07T04:17:55;2020-02-07T13:21:19
