id;points_a;points_b;split_deck_num;time_left;status;overtime_a;overtime_b;uvu_a;uvu_b;teama_id;teamb_id;event_category_id
1;37454;79654;95071;18343;CREATED;9997;5808;45924;86617;1;1;1
2;33370;60111;14286;70807;IN_PROGRESS;83244;93855;21233;77;2;2;2
3;18182;99221;18340;61748;PENDING;706;43194;2306;29122;3;3;3
4;52477;61185;39986;13949;PENDING;36636;23277;45606;9060;4;4;4
5;78517;61838;19967;38246;CREATED;85994;60754;68030;17052;5;5;5
6;45049;6505;1326;94888;PENDING;9767;23089;68423;24102;6;6;6
7;44015;68326;12203;60999;CANCEL;39106;25877;18223;66252;7;7;7
8;75536;31171;42515;52006;CREATED;18485;3131;96958;84228;8;8;8
9;77513;44975;93949;39515;DONE;57044;19598;52083;4522;9;9;9
10;96117;32533;84453;38867;CREATED;28093;60703;54269;27599;10;10;10
