id;name;close_inscr_days;status;categorize;logo;logo_content_type;cant_players_next_category;qty_team_groups;owner_id
1;mobile Fish;77969;DONE;false;../fake-data/blob/hipster.png;image/png;5808;45924;2
2;Savings Account alarm;2058;DONE;true;../fake-data/blob/hipster.png;image/png;93855;21233;1
3;Officer;61748;IN_PROGRESS;false;../fake-data/blob/hipster.png;image/png;43194;2306;1
4;Investment Account Steel;29214;DONE;false;../fake-data/blob/hipster.png;image/png;38246;51423;2
5;Canyon HDD;68030;PENDING;false;../fake-data/blob/hipster.png;image/png;94888;94220;2
6;cross-platform access;9767;CANCEL;false;../fake-data/blob/hipster.png;image/png;68326;12203;2
7;backing up Salad;39106;PENDING;true;../fake-data/blob/hipster.png;image/png;31171;42515;2
8;Mayotte;18485;IN_PROGRESS;true;../fake-data/blob/hipster.png;image/png;44975;93949;1
9;Communications capacitor archive;57044;CANCEL;true;../fake-data/blob/hipster.png;image/png;32533;84453;1
10;interactive generating compelling;28093;CREATED;true;../fake-data/blob/hipster.png;image/png;16526;7455;1
